country,gii_2006,gii_2007,gii_2008,gii_2009,gii_2010,gii_2011,gii_2012,gii_2013,gii_2014,gii_2015,gii_2016,gii_2017,gii_2018,gii_2019,gii_2020,gii_2021,mmr_2006,mmr_2007,mmr_2008,mmr_2009,mmr_2010,mmr_2011,mmr_2012,mmr_2013,mmr_2014,mmr_2015,mmr_2016,mmr_2017,mmr_2018,mmr_2019,mmr_2020,mmr_2021,abr_2006,abr_2007,abr_2008,abr_2009,abr_2010,abr_2011,abr_2012,abr_2013,abr_2014,abr_2015,abr_2016,abr_2017,abr_2018,abr_2019,abr_2020,abr_2021,se_f_2006,se_f_2007,se_f_2008,se_f_2009,se_f_2010,se_f_2011,se_f_2012,se_f_2013,se_f_2014,se_f_2015,se_f_2016,se_f_2017,se_f_2018,se_f_2019,se_f_2020,se_f_2021,se_m_2006,se_m_2007,se_m_2008,se_m_2009,se_m_2010,se_m_2011,se_m_2012,se_m_2013,se_m_2014,se_m_2015,se_m_2016,se_m_2017,se_m_2018,se_m_2019,se_m_2020,se_m_2021,pr_f_2006,pr_f_2007,pr_f_2008,pr_f_2009,pr_f_2010,pr_f_2011,pr_f_2012,pr_f_2013,pr_f_2014,pr_f_2015,pr_f_2016,pr_f_2017,pr_f_2018,pr_f_2019,pr_f_2020,pr_f_2021,pr_m_2006,pr_m_2007,pr_m_2008,pr_m_2009,pr_m_2010,pr_m_2011,pr_m_2012,pr_m_2013,pr_m_2014,pr_m_2015,pr_m_2016,pr_m_2017,pr_m_2018,pr_m_2019,pr_m_2020,pr_m_2021,lfpr_f_2006,lfpr_f_2007,lfpr_f_2008,lfpr_f_2009,lfpr_f_2010,lfpr_f_2011,lfpr_f_2012,lfpr_f_2013,lfpr_f_2014,lfpr_f_2015,lfpr_f_2016,lfpr_f_2017,lfpr_f_2018,lfpr_f_2019,lfpr_f_2020,lfpr_f_2021,lfpr_m_2006,lfpr_m_2007,lfpr_m_2008,lfpr_m_2009,lfpr_m_2010,lfpr_m_2011,lfpr_m_2012,lfpr_m_2013,lfpr_m_2014,lfpr_m_2015,lfpr_m_2016,lfpr_m_2017,lfpr_m_2018,lfpr_m_2019,lfpr_m_2020,lfpr_m_2021,gdi_2006,gdi_2007,gdi_2008,gdi_2009,gdi_2010,gdi_2011,gdi_2012,gdi_2013,gdi_2014,gdi_2015,gdi_2016,gdi_2017,gdi_2018,gdi_2019,gdi_2020,gdi_2021
Very high human development,0.252,0.246,0.242,0.238,0.231,0.222,0.217,0.207,0.2,0.194,0.187,0.177,0.168,0.162,0.157,0.155,19.1294013,18.41712389,17.88600541,17.66826435,17.01302837,16.44696522,16.22872668,15.64366517,15.22988462,15.45478675,15.29114953,15.04531692,15.04936755,15.0384651,15.01241367,14.97853185,27.19343476,27.47620686,27.64803311,27.00555226,25.49424463,24.44923288,23.59207354,22.45191727,21.30950814,19.89951533,18.47178697,16.99538149,15.56644631,14.72531181,14.14683732,14.09208185,79.11760686,79.81826503,80.42514187,80.98973477,81.86167303,82.47567519,82.94077213,83.53078715,84.14288625,84.72264373,85.15391055,85.59415447,86.09291402,86.79960326,87.01388866,86.97344955,82.00355419,82.56754047,83.08915212,83.50881222,84.47058344,85.04373827,85.58215176,86.11559424,86.70593183,87.15946285,87.52681734,88.03002314,88.53794246,89.1691208,89.43517699,89.41055967,19.07216151,20.01637561,20.59805958,20.97085388,21.04059994,21.83813819,22.4953614,23.54791104,24.05463031,24.61794091,25.01995384,26.03769012,26.91518881,27.71987352,28.47344355,29.13450292,80.92783849,79.98362439,79.40194042,79.02914612,78.95940006,78.16186181,77.5046386,76.45208896,75.94536969,75.38205909,74.98004616,73.96230988,73.08481119,72.28012648,71.52655645,70.86549708,51.59186978,51.76517384,51.93114399,51.96153025,51.81909999,52.00781171,52.11688123,52.08022129,52.1516908,52.18021731,52.38358585,52.59237254,52.90158433,53.1850856,52.36374234,52.56831041,70.25165051,70.37162984,70.43709429,70.0153565,69.78331087,69.7625225,69.7275878,69.53157302,69.44739683,69.3833402,69.43240965,69.4385293,69.51677095,69.47187209,68.2784049,68.412961,0.977,0.977,0.977,0.977,0.978,0.979,0.979,0.98,0.981,0.981,0.981,0.981,0.983,0.983,0.986,0.986
High human development,0.391,0.389,0.388,0.383,0.381,0.379,0.371,0.365,0.36,0.354,0.344,0.338,0.333,0.332,0.329,0.329,80.11713398,77.77648474,76.45310482,73.45945019,70.85501526,68.24962163,65.68083632,63.28790142,61.41239198,60.0166883,58.09837991,56.33391207,57.31140678,58.90443305,60.35461553,62.10730446,31.84228679,32.51046425,33.63025677,34.56472749,35.27974788,35.9350413,36.58076318,36.59361492,36.4670907,35.172119,33.67355598,32.78356078,31.32196963,30.28612775,28.94392751,28.04192388,52.12103191,53.25763055,54.59571006,56.00367074,57.31468475,59.52369357,61.62795686,63.68029478,65.63872622,67.74803928,68.40477932,69.77823607,71.18260301,72.43507625,72.70904838,72.67504104,63.19452895,64.09455259,65.06413721,66.08345513,66.90382868,68.54167335,70.05772316,71.41147698,72.75693596,74.27892425,74.52164251,75.57285876,76.82367553,77.86454124,78.06233077,78.02377915,16.35817097,16.66155134,17.18625736,18.26569708,18.30269384,18.28431759,20.20721227,21.13406173,21.53657088,21.90611982,23.11399334,23.43915776,24.47024438,24.8398865,25.61891956,25.75284772,83.64182902,83.33844866,82.81374264,81.73430292,81.69730616,81.71568241,79.79278773,78.86593827,78.46342912,78.09388018,76.88600666,76.56084224,75.52975562,75.1601135,74.38108044,74.24715228,57.03565642,56.98712412,56.48896097,56.17400033,55.67912589,55.61325971,55.65900826,55.49346567,55.34958823,55.45289158,55.45510676,55.49354117,55.28553533,55.27896142,53.23071177,53.63918217,78.11942844,77.79084309,77.43660886,77.0802484,76.78860751,76.69242417,76.54790389,76.32738872,76.07313319,75.90868724,75.58113491,75.21536545,74.97104619,74.76859933,73.09874758,73.47596252,0.936,0.94,0.941,0.944,0.949,0.951,0.956,0.958,0.96,0.963,0.966,0.97,0.97,0.972,0.973,0.973
Medium human development,0.592,0.582,0.575,0.564,0.562,0.555,0.55,0.541,0.534,0.515,0.509,0.502,0.501,0.496,0.496,0.494,291.8219536,277.0235215,262.4909162,249.1011828,235.7458377,224.0774918,213.684551,205.3656309,198.2697197,191.6873133,184.305347,172.8770441,173.4684626,174.0277677,174.804496,175.3470942,63.29888784,61.76326233,63.05449123,58.62088188,57.31979222,54.76099958,53.10965897,52.4589162,51.68498369,43.39314767,41.44448496,40.92867357,40.07070776,38.92469862,38.28882439,38.12841017,25.50251007,26.49678996,27.41630656,28.37857392,29.33953931,31.0683566,32.7556802,34.21584252,35.78510453,37.68141688,38.90970101,40.11189365,41.67034574,43.23552966,43.97228592,43.95910711,42.62690709,43.38113991,44.04299187,44.7663488,45.46871573,46.51458891,47.45919966,48.15443455,48.91177906,50.13408573,50.84458201,51.40020173,52.39289768,53.44386034,54.19149342,54.18083056,12.41257134,13.88206926,15.57724443,16.59529798,16.02931361,16.45555012,16.53364963,18.00444905,18.70134067,20.33474657,20.40986941,20.5881833,20.31101604,20.72472547,21.45918811,21.78904711,87.58742866,86.11793074,84.42275557,83.40470202,83.97068639,83.54444988,83.46635037,81.99555095,81.29865933,79.66525343,79.59013059,79.4118167,79.68898396,79.27527453,78.54081189,78.21095289,36.45160611,35.64101388,34.85362495,34.12108549,33.39959405,32.53036816,31.57097731,31.38327245,31.23191788,30.92900383,30.66610932,30.38422378,30.20541195,30.53470252,28.16327626,28.80900951,80.9614601,80.4792489,79.9935301,79.46473038,78.94189198,78.54330313,78.00446642,77.42391573,76.86987024,76.18370513,75.5543126,74.96050975,74.34533874,74.0303971,70.70592335,71.30478678,0.829,0.833,0.838,0.842,0.848,0.851,0.863,0.869,0.872,0.873,0.88,0.881,0.88,0.883,0.879,0.88
Low human development,0.635,0.629,0.626,0.622,0.617,0.614,0.608,0.605,0.601,0.594,0.59,0.587,0.584,0.581,0.581,0.577,670.7004508,644.6198663,624.1124625,607.4344571,589.958179,574.1716232,560.9639136,547.9000911,537.8932914,522.6293338,509.3553661,498.3310304,498.1434085,498.2017555,498.6621089,499.4570447,111.366058,109.4963363,107.7615585,105.6104298,104.9561481,104.2522729,103.1755271,101.960814,100.5086209,97.68343927,95.15109242,93.26221871,92.25278487,91.47263601,90.49785723,89.51971356,15.36580299,15.55221343,16.02556227,16.6707871,17.10517159,17.19837865,18.82306222,19.4686184,20.60916271,21.38439353,22.01934828,22.7595758,20.8045473,22.79071225,22.79674651,22.79077998,30.53749028,30.76394407,31.40495192,32.18403465,33.11820079,33.99515888,34.10509261,34.46546401,35.51355055,36.0931581,36.61731996,36.85907273,32.54103877,34.15593316,34.14346792,34.12232595,16.55629139,17.50106975,17.69707451,18.02242024,18.92533147,19.85187145,20.26921066,20.30656361,20.64693737,22.00814111,22.02671395,22.08398134,22.27972571,22.64637606,23.0620405,24.34782609,83.44370861,82.49893025,82.30292549,81.97757976,81.07466853,80.14812855,79.73078934,79.6934364,79.35306263,77.99185889,77.97328605,77.91601866,77.72027429,77.35362394,76.9379595,75.65217391,52.04045104,51.93818471,51.87393164,51.91521534,51.96705398,51.82783208,51.25297705,50.81321722,50.74629376,50.99487671,50.84178567,50.68251659,50.52871759,50.54784922,48.87040851,49.26579234,76.81848758,76.64716837,76.42710109,76.26225765,76.10405017,75.82945377,75.29391512,74.75409034,74.34605039,74.51240949,74.48793858,74.44397093,74.40205388,74.33942575,72.83981952,73.20895635,0.789,0.794,0.801,0.81,0.818,0.825,0.83,0.826,0.836,0.842,0.847,0.844,0.85,0.853,0.862,0.864
Arab States,0.609,0.601,0.597,0.592,0.585,0.581,0.565,0.559,0.556,0.546,0.534,0.534,0.537,0.538,0.534,0.536,195.8162836,186.9797014,175.4536265,169.1133015,162.9239126,155.968095,151.2499288,146.1567708,146.2567178,143.9405655,144.909704,143.5228984,145.2365951,147.1423697,148.7830212,150.2808287,53.24482126,53.2400042,52.7252611,52.82587025,53.42324435,53.68291531,53.69128431,53.9411949,53.37979389,52.40987627,50.46127498,49.2703081,48.17458583,47.06910732,46.1328242,45.25376613,31.3492302,33.3819615,34.92156776,36.54114705,38.0496691,39.91987116,41.73743483,43.71665152,45.51166597,47.2016017,48.80361977,50.21820215,51.96877975,53.75771103,53.90198718,53.81279842,44.94138446,46.4700903,47.48272675,48.52182951,49.42480186,50.66395743,51.93388202,53.15109813,54.18012064,55.14228968,56.05147039,57.51657985,58.93913703,60.18769633,60.57825009,60.44328083,8.592186894,8.992347927,9.029343405,9.281534816,10.11852052,10.19167589,13.29515016,13.90638855,13.97811618,15.48879152,18.02350337,18.03686063,18.3436853,18.19682278,19.24645562,18.33366474,91.40781311,91.00765207,90.97065659,90.71846518,89.88147948,89.8083241,86.70484984,86.09361145,86.02188382,84.51120848,81.97649663,81.96313937,81.6563147,81.80317722,80.75354438,81.66633526,20.36055425,20.8950757,20.5917726,20.69894579,20.82168815,20.79629784,20.91673565,21.21933208,21.29847114,21.43118821,21.63952772,20.96415222,20.05900836,19.76677267,19.31040526,19.32871244,72.16823326,72.01018807,72.1200142,71.90678866,72.73383016,72.42179997,72.61456203,72.65430357,72.10080919,71.58577164,71.36598281,70.78872225,70.84270188,71.05543065,69.25850993,69.46601765,0.829,0.833,0.829,0.825,0.841,0.849,0.856,0.859,0.86,0.864,0.87,0.872,0.873,0.875,0.871,0.871
East Asia and the Pacific,0.376,0.375,0.374,0.373,0.375,0.373,0.37,0.362,0.358,0.349,0.344,0.339,0.335,0.337,0.335,0.337,101.4974302,97.76456896,96.05741769,91.75780045,88.81768185,86.02727648,82.59531038,79.67427549,76.99215624,75.05876174,72.74388773,70.43782883,72.23783889,75.17338073,78.07493556,81.93302878,22.72168139,23.58411011,24.65133466,25.71854816,26.44615332,26.45903167,27.09802131,26.93552331,26.67300013,25.56757334,24.88467434,24.4296719,23.31003457,22.93510883,22.15497371,21.58068237,49.23531488,50.45774631,51.99411268,53.53895277,54.92687484,57.21377172,59.48161392,61.74719888,63.89575315,66.10149115,66.65293642,67.99121773,69.63165042,71.26244973,71.46350771,71.43200548,62.20217143,63.18003919,64.343995,65.51954553,66.52646932,68.11849,69.71588002,71.31394992,72.76263997,74.28432111,74.38898305,75.44587155,76.859395,78.11658122,78.25350454,78.21712342,17.52043076,17.62538374,18.16494978,18.38940085,17.49597923,17.26941222,17.59332039,18.6433872,18.60495913,19.61445029,19.51312742,19.76309131,20.2506754,20.17523531,20.97868424,20.9302702,82.47956924,82.37461626,81.83505022,81.61059915,82.50402077,82.73058778,82.40667961,81.3566128,81.39504087,80.38554971,80.48687258,80.23690869,79.7493246,79.82476469,79.02131576,79.0697298,63.14264342,63.10787998,62.62874391,62.10673408,61.64575689,61.89898175,61.80272034,61.53499118,61.52931782,61.47621599,61.30082865,61.06037496,61.06042372,61.03988441,59.81053772,59.70419824,80.13344375,79.82555279,79.44549672,79.0269946,78.66120898,78.85025985,78.62188961,78.23589407,78.05887816,77.80628204,77.39847736,76.87663863,76.57148359,76.2421418,75.34157809,75.20912609,0.937,0.94,0.942,0.945,0.95,0.955,0.959,0.96,0.964,0.967,0.97,0.974,0.975,0.978,0.978,0.978
Europe and Central Asia,0.346,0.33,0.326,0.319,0.315,0.31,0.3,0.292,0.287,0.281,0.268,0.255,0.248,0.239,0.232,0.227,32.40286481,31.08570504,29.83873682,27.51925911,26.17223644,25.30902365,24.51002166,22.92717314,22.35728925,21.67729003,20.57909518,19.94408456,20.10105019,20.26266619,20.29728211,20.27576562,30.69707561,30.63138386,31.29584555,32.68662706,32.05985053,32.63441545,32.31431184,31.76216425,31.40937899,30.0302803,27.85559524,24.79619101,23.04506463,21.96724741,20.69043313,20.13162299,71.10533146,71.84535008,73.12260277,73.49392425,75.92408167,76.98270698,77.77178894,78.56557119,79.56506025,80.36021039,81.18243344,81.72727482,82.56056739,83.45386047,83.44919879,83.35239467,77.42665257,78.26059643,78.87498906,79.36870945,83.45141979,84.49130601,85.07234145,85.67509528,86.4842183,87.02515661,87.77414665,88.31723845,89.03751559,89.79674122,89.79968946,89.7488391,11.4474004,14.05835544,14.33936497,15.34899107,15.34685864,16.31252043,18.04241435,18.20261438,19.09150757,18.98026316,19.93410214,20.69767442,21.15761936,23.12724894,24.61488037,26.07003891,88.5525996,85.94164456,85.66063503,84.65100893,84.65314136,83.68747957,81.95758564,81.79738562,80.90849243,81.01973684,80.06589786,79.30232558,78.84238064,76.87275106,75.38511963,73.92996109,43.70589849,43.65230572,43.71607484,43.73302196,44.0226045,44.31416263,44.25642891,44.42607744,44.43025255,44.68766787,44.79185628,44.84722233,44.79398455,44.82596321,42.68629444,42.92637716,66.87615451,67.04552061,67.21948827,67.15690645,67.39641888,67.87479717,67.7565114,67.99501748,68.40513235,68.63990451,68.92164278,69.02521507,69.10307514,68.88037194,66.638366,67.03875232,0.942,0.944,0.947,0.956,0.95,0.955,0.957,0.959,0.962,0.958,0.958,0.958,0.961,0.961,0.961,0.961
Latin America and the Caribbean,0.452,0.448,0.444,0.441,0.437,0.433,0.427,0.422,0.416,0.41,0.405,0.4,0.393,0.388,0.387,0.381,88.56292731,87.27937022,86.30622242,86.78098609,83.93983759,80.68987885,79.29511293,78.02185835,77.03432797,76.32433035,75.41661059,74.22970198,74.42926127,74.65901835,74.8346508,75.03083761,75.83733188,75.27821166,74.58903009,74.03806281,73.27285007,73.16807552,72.54914111,71.27169945,69.63017649,67.48119177,64.40067654,62.55390851,60.21270966,57.47380343,54.94200207,53.38933304,47.33520125,48.95393467,50.22015482,50.89175057,52.08574639,54.06346754,55.48916336,56.49061209,57.3472183,58.68866273,59.61368409,60.70563027,61.80878852,62.82112607,63.20839592,63.16086322,48.59949794,50.2523841,51.47713615,52.09804859,52.66814632,54.93851732,56.28852357,56.80854494,57.61700769,58.87742316,59.8575094,60.68196892,61.71152765,62.83462051,63.21194459,63.1713811,19.97171738,20.76703386,21.67789345,22.40470397,22.44939271,22.94715447,24.38875306,25.34869618,27.06812652,28.14710042,28.47578141,28.80608974,30.97696585,31.42516398,31.83714002,33.20063694,80.02828262,79.23296614,78.32210655,77.59529603,77.55060729,77.05284553,75.61124694,74.65130382,72.93187348,71.85289958,71.52421859,71.19391026,69.02303415,68.57483602,68.16285998,66.79936306,50.27875689,50.17631114,50.20005809,50.80855675,50.37507677,50.04651645,50.37085495,50.42097004,50.21063617,50.36683431,50.50879128,50.69436821,50.97371177,51.18571239,46.19480711,48.63018103,78.20309199,77.84715604,77.73243404,77.59663774,77.15135655,76.86212565,76.61932981,76.46254236,76.23487708,76.00535576,75.6989374,75.52347946,75.32651499,75.15128768,70.21257448,72.65657079,0.967,0.97,0.972,0.974,0.976,0.975,0.976,0.976,0.976,0.978,0.979,0.978,0.98,0.982,0.985,0.986
South Asia,0.605,0.598,0.587,0.574,0.569,0.563,0.558,0.554,0.55,0.53,0.521,0.513,0.512,0.505,0.51,0.508,283.4597534,269.0819125,253.1423078,239.1768459,225.5273865,212.4814764,201.1203902,191.1258437,182.7593365,173.0880769,163.6765262,149.8875164,150.5138251,151.4945457,152.5372866,153.2683128,57.0236321,55.31873358,56.52273191,51.24197709,49.55550999,46.65904956,45.07107135,44.48443091,43.78495169,34.53006939,32.60215947,32.25487937,31.24529896,29.80671467,29.19899359,28.93707549,24.42263609,25.0142015,25.59478034,26.62851175,27.61613778,29.0799419,31.16309525,32.72872555,34.5920378,36.60992738,37.85914746,39.26804082,39.52073843,41.37111071,42.22133116,42.18837763,44.15999248,44.55446102,44.93786657,45.64133059,46.41130969,47.40862196,48.16482541,48.82319028,49.83347198,51.09802052,51.7358526,52.25637218,50.9743147,52.03040316,52.85309357,52.81724071,12.29909155,13.38264963,16.39185257,17.67485822,17.90763431,18.15616181,18.15336463,17.78967254,17.35303364,17.36111111,17.54108723,17.54663294,17.12707182,17.52328389,17.54143646,17.57785467,87.70090845,86.61735037,83.60814743,82.32514178,82.09236569,81.84383819,81.84663537,82.21032746,82.64696636,82.63888889,82.45891277,82.45336706,82.87292818,82.47671611,82.45856354,82.42214533,29.44203727,28.55790981,27.64931577,26.98199827,26.25918793,25.19192224,24.28207336,23.99830083,23.72453671,23.64999339,23.41371893,23.40845058,23.02649941,23.47676362,21.03327499,21.59412837,81.07709612,80.57797171,79.97311878,79.52800596,78.97566744,78.38602244,77.97245815,77.45294381,76.69268911,76.1929935,75.58559676,75.16032496,74.58268479,74.33581621,70.9907946,71.58559894,0.791,0.794,0.796,0.803,0.811,0.813,0.827,0.829,0.833,0.837,0.848,0.851,0.849,0.855,0.85,0.852
Sub-Saharan Africa,0.619,0.612,0.609,0.605,0.602,0.599,0.596,0.591,0.587,0.582,0.579,0.575,0.575,0.573,0.572,0.569,717.0283115,688.270404,667.0991054,648.2846721,629.8677349,613.9623891,599.6964494,586.6167563,575.4941639,561.2621304,548.0491278,536.7200201,535.6815853,534.9001018,535.0474316,535.6588135,122.2540061,120.4063256,120.0144231,118.1201583,117.6771042,117.7862056,116.4443515,115.3259931,114.0129167,110.7588854,107.6584897,105.3125119,104.121977,103.4271484,101.9886256,100.8778766,22.34875357,22.99607474,23.71155772,24.54052686,24.75183568,25.42574018,26.19120395,26.80546861,27.73730179,28.82158819,29.49026178,30.03276993,30.70454424,31.29911922,31.23845617,31.14724917,34.25479536,34.63930782,35.53661326,36.51392017,36.89026869,37.61154599,38.29073431,38.78468596,39.53165412,40.62437919,41.3373504,41.90102172,43.22653018,44.42234367,44.3580141,44.26957348,17.00545364,18.04400978,18.52841185,19.27079142,19.62406904,20.3746813,20.63474632,21.75412921,22.34938458,23.27530625,23.26598625,23.54288093,23.45666289,24.04881551,24.57218977,25.71575167,82.99454636,81.95599022,81.47158815,80.72920858,80.37593096,79.6253187,79.36525368,78.24587079,77.65061542,76.72469375,76.73401375,76.45711907,76.54333711,75.95118449,75.42781023,74.28424833,65.99506998,65.83178217,65.60260756,65.21974566,64.82979636,64.65748242,63.99659799,63.51366001,63.36315373,63.40660045,63.36540246,63.40612365,63.40314967,63.43704543,61.56863558,62.14442812,75.89647497,75.73933697,75.54830983,75.20890294,74.86665336,74.70128871,74.06253225,73.44886341,73.35311077,73.37721258,73.38904094,73.36390149,73.2683849,73.20172165,71.76943144,72.25366195,0.862,0.867,0.871,0.876,0.884,0.888,0.888,0.889,0.896,0.899,0.903,0.901,0.904,0.903,0.907,0.907
World,0.52,0.514,0.511,0.506,0.504,0.5,0.495,0.49,0.487,0.478,0.473,0.468,0.466,0.465,0.465,0.465,281.7820176,270.5421468,260.7537938,252.298199,244.5335237,237.5040619,230.3244663,224.3781746,220.4536697,215.6257672,211.2235689,205.6950615,209.8274815,215.0004811,220.185792,225.4065029,52.00155796,52.0076211,53.08285061,52.10388417,52.13019193,51.75701848,51.53257203,51.29554301,50.90347995,47.2780182,45.7428462,44.99539145,44.14062409,43.4333192,42.80526272,42.52906594,50.91980759,51.68804529,52.47985357,53.33829069,54.22260346,55.54276717,56.90785426,58.15938742,59.45450677,60.84851773,61.44384324,62.32168145,63.0632185,64.16479075,64.34918236,64.15425842,60.80234833,61.4367396,62.07117582,62.74338216,63.48386303,64.52520106,65.42395511,66.22158123,67.10705232,68.1063297,68.43499913,69.04101603,69.4103104,70.28112851,70.48296753,70.31651579,16.79611611,17.6385023,18.28502658,18.7854359,18.83003131,19.32844743,20.29181102,21.16665103,21.62437455,22.46628348,22.94180203,23.50402567,24.0990325,24.67111468,25.37118401,25.91337244,83.20388389,82.3614977,81.71497342,81.2145641,81.16996869,80.67155257,79.70818898,78.83334897,78.37562545,77.53371652,77.05819797,76.49597433,75.9009675,75.32888532,74.62881599,74.08662756,50.10487162,49.89380933,49.50927432,49.1829475,48.74276173,48.49343117,48.19449006,47.98723795,47.86370655,47.8162988,47.73471543,47.66095155,47.54863363,47.66099121,45.82257725,46.20044669,76.75380069,76.52639417,76.26744737,75.88132441,75.57108104,75.40931243,75.15886508,74.82545412,74.52465288,74.28702352,74.00741281,73.70981054,73.46856517,73.29352599,71.30588986,71.69173974,0.93,0.932,0.933,0.935,0.938,0.94,0.944,0.946,0.949,0.949,0.952,0.953,0.955,0.956,0.957,0.958
