country,gii_2006,gii_2007,gii_2008,gii_2009,gii_2010,gii_2011,gii_2012,gii_2013,gii_2014,gii_2015,gii_2016,gii_2017,gii_2018,gii_2019,gii_2020,gii_2021,gdi_2006,gdi_2007,gdi_2008,gdi_2009,gdi_2010,gdi_2011,gdi_2012,gdi_2013,gdi_2014,gdi_2015,gdi_2016,gdi_2017,gdi_2018,gdi_2019,gdi_2020,gdi_2021
Argentina,0.369,0.367,0.363,0.369,0.364,0.362,0.36,0.356,0.351,0.345,0.338,0.328,0.315,0.306,0.293,0.287,0.994,0.997,0.995,0.994,0.995,0.991,0.998,0.997,0.995,1.0,0.996,0.993,1.0,1.0,0.999,0.997
Central African Republic,0.694,0.695,0.696,0.7,0.701,0.688,0.686,0.687,0.684,0.68,0.701,0.691,0.69,0.69,0.69,0.672,0.75,0.754,0.759,0.764,0.776,0.778,0.784,0.784,0.794,0.788,0.795,0.805,0.807,0.808,0.806,0.81
Chile,0.367,0.361,0.356,0.347,0.339,0.327,0.32,0.3,0.288,0.277,0.259,0.243,0.207,0.206,0.21,0.187,0.945,0.947,0.95,0.958,0.961,0.961,0.965,0.964,0.967,0.965,0.966,0.965,0.968,0.966,0.968,0.967
C̫te d'Ivoire,0.667,0.663,0.661,0.66,0.66,0.649,0.649,0.647,0.649,0.648,0.645,0.635,0.632,0.621,0.619,0.613,0.81,0.813,0.818,0.823,0.832,0.835,0.8,0.837,0.848,0.858,0.861,0.87,0.874,0.878,0.886,0.887
Colombia,0.491,0.493,0.491,0.488,0.464,0.463,0.462,0.46,0.433,0.43,0.427,0.427,0.427,0.423,0.425,0.424,0.974,0.993,0.988,0.992,0.991,0.99,0.991,0.993,0.989,0.991,0.991,0.991,0.992,0.991,0.98,0.984
Dominican Republic,0.488,0.493,0.492,0.498,0.491,0.487,0.482,0.478,0.477,0.471,0.457,0.454,0.451,0.443,0.434,0.429,0.956,0.962,0.966,0.97,0.983,0.989,0.997,0.994,0.993,1.004,1.001,1.006,1.009,1.013,1.015,1.014
Ghana,0.568,0.567,0.579,0.574,0.573,0.572,0.571,0.556,0.554,0.554,0.55,0.538,0.539,0.536,0.535,0.529,0.882,0.889,0.887,0.893,0.898,0.905,0.913,0.906,0.919,0.912,0.929,0.857,0.935,0.942,0.947,0.946
India,0.61,0.603,0.606,0.589,0.582,0.576,0.571,0.565,0.558,0.525,0.516,0.51,0.505,0.486,0.493,0.49,0.79,0.793,0.797,0.803,0.81,0.813,0.826,0.831,0.835,0.838,0.848,0.851,0.849,0.852,0.845,0.849
Jordan,0.509,0.504,0.503,0.503,0.482,0.479,0.479,0.473,0.468,0.464,0.442,0.436,0.449,0.457,0.475,0.471,0.866,0.866,0.865,0.865,0.869,0.87,0.871,0.872,0.874,0.876,0.887,0.887,0.89,0.886,0.888,0.887
Kenya,0.64,0.634,0.613,0.605,0.595,0.588,0.581,0.543,0.538,0.532,0.527,0.515,0.514,0.511,0.507,0.506,0.893,0.897,0.906,0.913,0.922,0.925,0.925,0.923,0.928,0.929,0.928,0.936,0.938,0.944,0.937,0.941
Mexico,0.425,0.42,0.421,0.414,0.408,0.402,0.377,0.371,0.366,0.349,0.341,0.336,0.323,0.317,0.317,0.309,0.939,0.941,0.943,0.948,0.953,0.954,0.953,0.951,0.952,0.954,0.957,0.959,0.963,0.971,0.982,0.989
Mozambique,0.576,0.572,0.569,0.559,0.56,0.563,0.558,0.554,0.548,0.54,0.541,0.544,0.543,0.54,0.538,0.537,0.867,0.871,0.878,0.883,0.892,0.893,0.901,0.911,0.918,0.924,0.919,0.912,0.917,0.919,0.921,0.922
Malawi,0.643,0.637,0.63,0.602,0.597,0.589,0.585,0.58,0.589,0.585,0.58,0.576,0.574,0.555,0.555,0.554,0.887,0.888,0.889,0.895,0.909,0.919,0.926,0.91,0.947,0.95,0.956,0.962,0.966,0.972,0.971,0.968
Pakistan,0.614,0.611,0.602,0.591,0.582,0.577,0.563,0.561,0.555,0.547,0.545,0.543,0.542,0.534,0.535,0.534,0.694,0.695,0.693,0.724,0.727,0.727,0.76,0.741,0.746,0.754,0.775,0.754,0.767,0.798,0.809,0.81
Philippines,0.479,0.462,0.466,0.467,0.465,0.457,0.455,0.443,0.436,0.43,0.422,0.423,0.422,0.421,0.421,0.419,0.945,0.946,0.944,0.943,0.95,0.951,0.973,0.975,0.978,0.979,0.982,0.981,0.983,0.985,0.986,0.99
Paraguay,0.526,0.509,0.497,0.496,0.492,0.483,0.473,0.454,0.461,0.458,0.455,0.454,0.452,0.448,0.446,0.445,0.945,0.949,0.954,0.954,0.953,0.966,0.977,0.97,0.971,0.976,0.974,0.971,0.981,0.986,0.986,0.99
Senegal,0.633,0.606,0.601,0.594,0.586,0.58,0.551,0.542,0.538,0.535,0.533,0.531,0.532,0.532,0.532,0.53,0.823,0.831,0.838,0.848,0.862,0.877,0.883,0.89,0.886,0.887,0.884,0.88,0.859,0.841,0.874,0.874
Togo,0.63,0.617,0.615,0.612,0.621,0.628,0.624,0.605,0.595,0.592,0.59,0.588,0.586,0.588,0.58,0.58,0.786,0.783,0.784,0.791,0.795,0.779,0.801,0.808,0.814,0.798,0.825,0.84,0.838,0.845,0.845,0.849
Turkey,0.52,0.465,0.451,0.437,0.422,0.382,0.37,0.354,0.346,0.335,0.323,0.311,0.286,0.277,0.277,0.272,0.859,0.863,0.875,0.9,0.891,0.907,0.913,0.917,0.922,0.919,0.927,0.93,0.936,0.939,0.937,0.937
Tanzania (United Republic of),0.592,0.589,0.585,0.583,0.581,0.571,0.569,0.569,0.57,0.569,0.567,0.563,0.562,0.561,0.56,0.56,0.902,0.905,0.906,0.906,0.921,0.925,0.945,0.932,0.934,0.936,0.938,0.939,0.941,0.944,0.943,0.943
Uruguay,0.359,0.348,0.342,0.334,0.321,0.33,0.329,0.333,0.328,0.297,0.29,0.269,0.258,0.253,0.242,0.235,1.007,1.01,1.01,1.011,1.014,1.02,1.02,1.017,1.018,1.018,1.021,1.018,1.019,1.02,1.019,1.022
Viet Nam,0.299,0.303,0.307,0.312,0.315,0.32,0.319,0.32,0.317,0.316,0.306,0.303,0.304,0.305,0.305,0.296,0.971,0.989,0.977,0.988,0.992,0.995,0.998,1.0,1.001,1.004,1.005,1.003,1.003,1.004,1.001,1.002
Zambia,0.606,0.6,0.594,0.592,0.586,0.59,0.585,0.581,0.579,0.567,0.545,0.54,0.537,0.534,0.535,0.54,0.871,0.878,0.89,0.895,0.913,0.92,0.929,0.933,0.941,0.95,0.954,0.993,0.993,0.966,0.965,0.965
Zimbabwe,0.59,0.588,0.597,0.596,0.592,0.587,0.583,0.547,0.545,0.54,0.537,0.532,0.535,0.533,0.533,0.532,0.887,0.882,0.892,0.908,0.926,0.945,0.945,0.942,0.942,0.942,0.946,0.952,0.952,0.955,0.959,0.961
