country,gii_2006,gii_2007,gii_2008,gii_2009,gii_2010,gii_2011,gii_2012,gii_2013,gii_2014,gii_2015,gii_2016,gii_2017,gii_2018,gii_2019,gii_2020,gii_2021
Argentina,0.369,0.367,0.363,0.369,0.364,0.362,0.36,0.356,0.351,0.345,0.338,0.328,0.315,0.306,0.293,0.287
Central African Republic,0.694,0.695,0.696,0.7,0.701,0.688,0.686,0.687,0.684,0.68,0.701,0.691,0.69,0.69,0.69,0.672
Chile,0.367,0.361,0.356,0.347,0.339,0.327,0.32,0.3,0.288,0.277,0.259,0.243,0.207,0.206,0.21,0.187
C̫te d'Ivoire,0.667,0.663,0.661,0.66,0.66,0.649,0.649,0.647,0.649,0.648,0.645,0.635,0.632,0.621,0.619,0.613
Colombia,0.491,0.493,0.491,0.488,0.464,0.463,0.462,0.46,0.433,0.43,0.427,0.427,0.427,0.423,0.425,0.424
Dominican Republic,0.488,0.493,0.492,0.498,0.491,0.487,0.482,0.478,0.477,0.471,0.457,0.454,0.451,0.443,0.434,0.429
Ghana,0.568,0.567,0.579,0.574,0.573,0.572,0.571,0.556,0.554,0.554,0.55,0.538,0.539,0.536,0.535,0.529
India,0.61,0.603,0.606,0.589,0.582,0.576,0.571,0.565,0.558,0.525,0.516,0.51,0.505,0.486,0.493,0.49
Jordan,0.509,0.504,0.503,0.503,0.482,0.479,0.479,0.473,0.468,0.464,0.442,0.436,0.449,0.457,0.475,0.471
Kenya,0.64,0.634,0.613,0.605,0.595,0.588,0.581,0.543,0.538,0.532,0.527,0.515,0.514,0.511,0.507,0.506
Mexico,0.425,0.42,0.421,0.414,0.408,0.402,0.377,0.371,0.366,0.349,0.341,0.336,0.323,0.317,0.317,0.309
Mozambique,0.576,0.572,0.569,0.559,0.56,0.563,0.558,0.554,0.548,0.54,0.541,0.544,0.543,0.54,0.538,0.537
Malawi,0.643,0.637,0.63,0.602,0.597,0.589,0.585,0.58,0.589,0.585,0.58,0.576,0.574,0.555,0.555,0.554
Pakistan,0.614,0.611,0.602,0.591,0.582,0.577,0.563,0.561,0.555,0.547,0.545,0.543,0.542,0.534,0.535,0.534
Philippines,0.479,0.462,0.466,0.467,0.465,0.457,0.455,0.443,0.436,0.43,0.422,0.423,0.422,0.421,0.421,0.419
Paraguay,0.526,0.509,0.497,0.496,0.492,0.483,0.473,0.454,0.461,0.458,0.455,0.454,0.452,0.448,0.446,0.445
Senegal,0.633,0.606,0.601,0.594,0.586,0.58,0.551,0.542,0.538,0.535,0.533,0.531,0.532,0.532,0.532,0.53
Togo,0.63,0.617,0.615,0.612,0.621,0.628,0.624,0.605,0.595,0.592,0.59,0.588,0.586,0.588,0.58,0.58
Turkey,0.52,0.465,0.451,0.437,0.422,0.382,0.37,0.354,0.346,0.335,0.323,0.311,0.286,0.277,0.277,0.272
Tanzania (United Republic of),0.592,0.589,0.585,0.583,0.581,0.571,0.569,0.569,0.57,0.569,0.567,0.563,0.562,0.561,0.56,0.56
Uruguay,0.359,0.348,0.342,0.334,0.321,0.33,0.329,0.333,0.328,0.297,0.29,0.269,0.258,0.253,0.242,0.235
Viet Nam,0.299,0.303,0.307,0.312,0.315,0.32,0.319,0.32,0.317,0.316,0.306,0.303,0.304,0.305,0.305,0.296
Zambia,0.606,0.6,0.594,0.592,0.586,0.59,0.585,0.581,0.579,0.567,0.545,0.54,0.537,0.534,0.535,0.54
Zimbabwe,0.59,0.588,0.597,0.596,0.592,0.587,0.583,0.547,0.545,0.54,0.537,0.532,0.535,0.533,0.533,0.532
